begin,end,id,id2,sampledSeconds,departed,arrived,entered,left,laneChangedFrom,laneChangedTo,traveltime,overlapTraveltime,density,laneDensity,occupancy,waitingTime,timeLoss,speed
1800,2100,MEAN_TRAVEL_TIME,206605160,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,206605161,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,206605176,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,206605178,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,206605179,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,206605180,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,405040578,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,405040582,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,778959588,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,L23_L2,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,L2_L1,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,L3_L23,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,L4_L3,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,L4_LS4,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,L5_L4,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,L6_L5,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,LS3_L3,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,LS4_LS41s,0,0,0,0,0,0,0,,,,,,,,
1800,2100,MEAN_TRAVEL_TIME,R1_R2,14126.84,299,0,0,300,164,164,47.45,47.63,41.33,13.78,6.91,2,3118.08,24.02
1800,2100,MEAN_TRAVEL_TIME,R2_R3,729.67,0,0,300,300,1,1,2.23,2.43,41.43,10.36,4.79,0,110.4,26.2
1800,2100,MEAN_TRAVEL_TIME,R3_R4,333.21,0,0,300,301,0,0,0.9,1.11,50.79,12.7,5.19,0,71.04,24.22
1800,2100,MEAN_TRAVEL_TIME,R4_R5,3293.39,22,0,296,316,35,35,10.22,10.4,43.06,14.35,7.09,0,621.28,25
1800,2100,MEAN_TRAVEL_TIME,R4_RS4,48.23,0,5,4,0,0,0,10.75,10.99,0.72,0.72,0.35,0,1.41,20.73
1800,2100,MEAN_TRAVEL_TIME,R5_R6,1436.06,0,28,354,320,3,3,3.92,4.1,43.8,10.95,5.26,0,142.1,27.89
1800,2100,MEAN_TRAVEL_TIME,R6_R7,2482.16,0,284,320,38,45,45,7.6,7.77,38.38,9.6,4.72,0,207.24,28.38
1800,2100,MEAN_TRAVEL_TIME,R7_R8,1635.62,0,35,38,0,11,11,45.37,45.54,3.89,1.3,0.65,0,36.28,30.87
1800,2100,MEAN_TRAVEL_TIME,RS5_R5,734.81,39,0,0,38,0,0,19.35,19.58,7.95,7.95,3.95,0,222.07,15.99
2100,2400,MEAN_TRAVEL_TIME,206605160,0,0,0,0,0,0,0,,,,,,,,
2100,2400,MEAN_TRAVEL_TIME,206605161,0,0,0,0,0,0,0,,,,,,,,
2100,2400,MEAN_TRAVEL_TIME,206605176,0,0,0,0,0,0,0,,,,,,,,
2100,2400,MEAN_TRAVEL_TIME,206605178,0,0,0,0,0,0,0,,,,,,,,
2100,2400,MEAN_TRAVEL_TIME,206605179,0,0,0,0,0,0,0,,,,,,,,
2100,2400,MEAN_TRAVEL_TIME,206605180,0,0,0,0,0,0,0,,,,,,,,
2100,2400,MEAN_TRAVEL_TIME,405040578,0,0,0,0,0,0,0,,,,,,,,
2100,2400,MEAN_TRAVEL_TIME,405040582,0,0,0,0,0,0,0,,,,,,,,
2100,2400,MEAN_TRAVEL_TIME,778959588,0,0,0,0,0,0,0,,,,,,,,
2100,2400,MEAN_TRAVEL_TIME,L23_L2,0,0,0,0,0,0,0,,,,,,,,
2100,2400,MEAN_TRAVEL_TIME,L2_L1,0,0,0,0,0,0,0,,,,,,,,
2100,2400,MEAN_TRAVEL_TIME,L3_L23,0,0,0,0,0,0,0,,,,,,,,
2100,2400,MEAN_TRAVEL_TIME,L4_L3,0,0,0,0,0,0,0,,,,,,,,
